ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
2.047	1.104	2.383	-0.203	0.978
2.184	1.189	2.617	-0.208	1.067
2.655	1.793	2.940	0.674	1.517
1.527	1.038	1.089	0.722	0.751
1.726	1.031	1.195	0.948	1.071
3.048	2.145	3.667	0.747	2.021
1.724	1.399	1.389	1.071	1.096
2.245	1.991	2.165	1.111	1.558
3.269	2.398	3.936	1.245	2.486
3.300	2.518	3.743	1.457	2.518
1.330	0.893	0.946	0.884	0.904
1.357	1.378	1.348	0.470	0.466
1.501	0.547	1.204	0.347	0.686
2.222	1.319	3.407	-0.373	1.115
1.788	1.369	2.158	0.187	0.713
1.968	1.149	2.132	0.628	1.453
2.150	1.259	3.088	0.174	1.317
1.832	1.137	2.216	0.405	1.108
1.664	0.413	1.955	0.296	1.459
1.499	0.581	1.489	0.526	1.538
1.812	1.388	1.471	1.354	1.384
2.323	1.677	3.256	0.794	1.856
2.382	1.788	3.531	0.713	1.800
2.136	1.559	3.374	0.400	1.476
1.843	1.278	3.143	0.120	1.279
1.628	0.989	3.143	-0.336	0.954
1.030	1.121	1.614	-0.007	0.461
0.975	0.342	0.931	0.107	0.293
1.156	0.843	1.607	0.012	0.271
1.113	0.421	1.184	0.286	0.951
1.446	1.043	2.593	0.169	0.996
0.754	0.562	0.570	0.562	0.559
1.548	1.219	1.771	0.941	1.281
1.394	0.900	1.357	0.818	1.081
1.376	1.515	1.640	0.846	0.843
1.118	0.984	1.217	0.564	0.635
0.779	0.414	0.512	0.401	0.424
1.051	0.697	0.793	0.631	0.657
1.482	1.437	1.683	0.804	0.857
1.281	0.930	1.460	0.522	0.608
2.134	1.617	3.430	0.929	1.761
0.954	0.727	0.752	0.727	0.729
1.338	0.999	1.659	0.736	0.905
0.975	0.474	0.924	0.391	0.541
1.195	0.782	2.748	-0.073	0.669
0.926	0.872	1.615	0.071	0.347
1.393	1.025	1.976	0.630	0.852
0.953	0.496	2.273	-0.107	0.593
1.568	1.378	2.755	0.560	0.999
0.965	0.622	0.797	0.582	0.613
0.921	0.536	1.667	0.073	0.336
