ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
1.435	0.642	1.410	0.647	1.847
1.079	0.681	0.728	0.683	0.713
1.781	1.793	1.641	0.943	0.974
1.301	0.762	1.065	0.664	0.748
2.814	2.056	3.754	0.683	2.304
2.607	1.972	3.457	0.804	2.209
1.459	0.949	2.285	-0.239	0.762
1.542	1.713	1.595	1.083	1.077
1.373	0.555	1.591	0.526	1.366
1.663	1.158	1.431	0.909	1.079
1.751	0.763	2.088	0.586	1.668
1.454	1.309	1.320	0.743	0.828
1.567	1.691	1.743	0.747	0.996
2.534	2.074	3.601	1.015	2.093
2.018	1.492	3.352	0.206	1.427
1.806	1.419	2.195	0.896	1.397
0.971	1.144	1.097	0.525	0.517
1.240	1.531	1.470	0.725	0.719
1.810	1.744	2.325	0.843	1.298
1.231	0.852	1.526	0.457	0.930
1.062	0.630	1.345	0.288	0.795
1.003	0.673	0.845	0.644	0.694
1.006	0.780	1.073	0.441	0.453
0.703	0.465	0.484	0.459	0.457
0.725	0.603	0.800	0.256	0.260
1.014	0.809	2.439	-0.230	0.693
0.976	1.395	1.310	0.527	0.523
1.008	0.900	1.627	0.230	0.321
1.251	1.176	1.539	0.666	0.972
0.892	0.534	1.482	0.140	0.586
1.107	1.292	1.578	0.548	0.563
0.655	0.397	1.106	0.025	0.283
0.895	0.878	1.224	0.480	0.762
0.936	0.816	0.879	0.770	0.824
0.688	0.182	1.103	0.116	0.664
0.846	0.618	0.762	0.593	0.637
0.460	0.415	0.407	0.419	0.414
0.543	0.287	2.164	-0.418	0.475
0.512	0.289	2.160	-0.451	0.372
0.377	0.113	0.542	-0.013	0.139
0.479	0.347	0.356	0.337	0.335
0.623	0.555	0.549	0.559	0.554
0.587	0.442	0.454	0.442	0.442
0.901	0.891	1.313	0.505	0.579
0.594	0.504	0.497	0.510	0.505
0.942	1.065	1.145	0.746	0.742
1.064	1.001	1.277	0.770	0.903
0.926	0.836	2.506	0.197	0.763
0.445	0.691	0.799	0.221	0.221
0.411	0.273	0.307	0.266	0.271
0.512	0.415	1.231	0.089	0.327
0.718	0.554	0.777	0.547	0.623
0.172	0.141	1.017	-0.235	-0.059
0.552	0.504	0.501	0.507	0.504
0.427	0.546	0.626	0.314	0.311
0.977	1.192	1.308	0.813	0.808
0.518	0.409	0.414	0.410	0.408
0.732	0.668	0.660	0.673	0.669
0.273	0.116	0.455	0.048	0.143
0.391	0.403	1.317	0.066	0.309
0.257	0.167	0.233	0.147	0.162
0.657	0.562	0.814	0.522	0.645
0.418	0.323	0.344	0.321	0.321
0.542	0.479	0.472	0.482	0.478
0.248	0.229	0.307	0.145	0.146
0.385	0.338	0.671	0.224	0.276
0.389	0.274	2.022	-0.109	0.429
0.282	0.167	0.443	0.106	0.177
0.242	0.414	0.635	0.084	0.079
0.328	0.231	0.303	0.225	0.277
0.818	0.738	0.836	0.737	0.808
0.412	0.268	0.592	0.259	0.356
0.243	0.126	0.261	0.120	0.152
0.305	0.219	0.410	0.174	0.191
0.891	0.856	0.848	0.858	0.855
0.346	0.291	0.290	0.294	0.292
0.333	0.285	0.281	0.288	0.286
0.450	0.387	0.443	0.373	0.381
0.583	0.575	1.011	0.434	0.461
0.168	0.083	0.479	0.048	0.145
0.194	0.137	0.141	0.137	0.136
0.312	0.247	0.254	0.247	0.248
