ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
7.293	6.099	6.644	4.946	6.025
4.716	3.545	3.963	1.902	3.082
5.510	3.921	4.811	2.736	4.114
4.593	3.483	3.862	2.753	3.520
4.061	2.532	3.451	1.215	2.597
4.393	3.538	3.762	3.243	3.554
5.353	4.236	4.894	2.875	4.041
6.741	5.840	6.392	4.787	5.682
5.904	4.567	5.505	3.263	4.520
5.711	4.684	5.095	4.249	4.657
6.276	5.142	5.804	4.486	5.245
3.358	2.716	2.886	2.690	2.800
4.896	3.838	4.549	2.805	4.069
7.452	6.522	7.154	5.613	6.324
6.292	4.962	6.191	3.476	4.937
5.639	4.328	5.547	2.838	4.114
3.607	2.232	3.562	0.537	2.058
4.284	3.023	4.172	1.684	2.873
5.512	4.096	5.403	3.273	4.573
5.155	3.938	5.120	2.875	3.980
6.183	5.190	6.125	4.255	5.134
5.165	4.010	5.186	2.999	4.135
5.254	4.421	5.392	3.081	4.014
3.567	3.140	3.331	2.057	2.554
2.911	2.413	2.485	2.247	2.254
5.930	5.300	5.737	5.113	5.300
4.403	3.413	4.250	3.144	4.169
5.534	4.509	5.732	3.749	4.772
3.925	2.856	4.245	1.913	3.013
3.379	2.177	3.868	1.080	2.367
2.653	2.083	2.512	1.207	1.663
2.691	1.714	2.934	0.705	1.518
3.026	1.823	3.563	0.666	1.994
3.749	3.003	3.734	2.274	2.687
4.238	3.001	4.567	2.403	3.334
4.588	3.796	5.000	3.041	3.723
4.009	3.391	4.183	2.702	3.190
5.425	4.607	5.800	4.020	4.729
4.923	4.178	4.948	3.926	4.406
5.339	4.446	5.842	3.773	4.524
2.103	1.856	2.017	1.380	1.486
1.407	0.693	1.046	0.649	0.854
1.705	1.140	1.265	1.071	1.104
3.567	2.843	3.512	2.477	2.587
3.578	2.540	4.659	1.264	2.417
6.608	5.971	7.300	5.022	5.768
5.107	4.157	5.499	3.744	4.506
4.877	4.209	5.512	3.388	4.051
3.573	2.524	4.849	1.219	2.453
3.010	2.413	3.689	1.488	2.194
2.216	1.633	1.940	1.566	1.707
3.946	3.254	3.920	3.021	3.338
4.229	3.495	4.925	2.943	3.638
6.447	5.902	7.299	4.989	5.635
4.347	3.934	4.494	3.396	3.589
3.135	2.078	3.652	1.761	2.479
3.548	2.704	4.439	1.985	2.736
5.505	4.877	6.397	4.128	4.838
3.931	3.370	4.470	2.806	3.280
3.005	2.537	2.806	2.424	2.505
1.930	1.308	3.090	0.162	0.918
1.968	1.795	2.573	0.598	0.701
3.418	2.907	3.433	2.706	2.953
2.689	2.036	2.894	1.922	2.529
2.595	1.898	3.348	1.298	1.863
2.788	2.007	4.276	0.943	1.985
3.384	2.816	4.396	2.119	2.820
3.291	2.669	4.544	1.762	2.594
2.017	1.197	3.211	0.387	1.191
3.123	2.380	3.909	1.978	2.672
3.922	3.654	4.201	3.208	3.339
2.779	2.642	2.976	2.115	2.180
2.110	1.266	3.862	0.131	1.305
1.758	1.062	3.244	0.087	1.047
2.507	1.872	3.717	1.065	1.821
2.292	1.682	2.455	1.549	1.889
4.651	4.349	4.936	3.976	4.184
1.364	1.411	1.508	1.027	1.036
5.563	5.408	5.999	4.884	5.050
3.108	2.327	3.573	2.125	2.610
3.826	3.231	4.768	2.609	3.270
3.158	2.648	3.365	2.652	3.050
4.950	4.399	5.508	4.026	4.334
3.996	3.276	4.266	3.207	3.652
4.896	4.320	5.521	3.897	4.301
1.479	0.661	1.921	0.655	1.558
2.936	2.557	3.426	1.958	2.324
1.607	1.871	1.982	1.070	1.067
1.650	0.944	2.933	0.245	1.159
2.404	2.303	2.795	1.733	1.812
2.259	1.844	2.908	1.247	1.599
2.238	2.233	2.320	1.791	1.816
2.812	2.343	3.645	1.782	2.289
1.241	1.107	1.109	1.110	1.107
3.801	3.161	4.220	2.995	3.591
3.086	2.578	3.073	2.458	2.685
